companyClientLevelType,Communauto,POTENTIAL_CLIENT,
companyAddresses_primary,AUTEL,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'No.9 Dongjin Road, Huaguoshan Avenue,', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,YouLand 有联科技 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '5780 S40th St. Ste 1', 'address2': None, 'geoInfoEN': {'cityId': 5308655, 'city': 'Phoenix', 'province': 'Arizona', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Wolong Electric - EMEA,"{'address': '405 E 4th Ave', 'address2': None, 'geoInfoEN': {'cityId': 5392423, 'city': 'San Mateo', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,RedHarp_US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'wuhan', 'address2': None, 'geoInfoEN': {'cityId': 1791247, 'city': 'Wuhan', 'province': 'Hubei', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary," Kechow Pharma, Inc","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '50 Beale St. Suite #600', 'address2': None, 'geoInfoEN': {'cityId': 3493146, 'city': 'San Francisco de Macorís', 'province': 'Provincia Duarte', 'country': 'Dominican Republic'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,China Telecom 中国电信 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'Lawn House 74 Shepherds Bush Green London   W12 8QE', 'address2': None, 'geoInfoEN': {'cityId': 2643743, 'city': 'London', 'province': 'England', 'country': 'United Kingdom'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,上海景栗信息科技有限公司,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '1065 E Hillsdale Blvd', 'address2': None, 'geoInfoEN': {'cityId': 5350159, 'city': 'Foster City', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Sunvalleytek 泽宝 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '448 Ignacio Boulevard Suite 332 Novato, CA 94949 USA', 'address2': None, 'geoInfoEN': {'cityId': 5378044, 'city': 'Novato', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,"DIOO,江苏帝奥微电子股份有限公司","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '448 Ignacio Boulevard Suite 332 Novato, CA 94949 USA', 'address2': None, 'geoInfoEN': {'cityId': 5378044, 'city': 'Novato', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Oatly ,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '448 Ignacio Boulevard Suite 332 Novato, CA 94949 USA', 'address2': None, 'geoInfoEN': {'cityId': 5378044, 'city': 'Novato', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
